 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P11CM117,11,CFM International,CFM56-7B26E/B1,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,1.75,7,3,2.6,0.4,2.18,2.91,3.0,15.4,302,0.2,0.16,3.07,30.94,7,3,46.8,2.6,43.8,48.7,50.6,42.9,5476,21.79,17.08,8.93,4.27,7,3,40.7,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,2.3.2 e),4762,13.1,9.8,2.1,2.1,7,3,13.1,4.1,8.4,16.2,14.4,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM118,11,CFM International,CFM56-7B26E/B2,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,1.75,7,3,2.6,0.4,2.18,2.91,3.0,15.4,302,0.2,0.16,3.07,30.94,7,3,46.8,2.6,43.8,48.7,50.6,42.9,5476,21.79,17.08,8.93,4.27,7,3,40.7,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,2.3.2 e),4762,13.1,9.8,2.1,2.1,7,3,13.1,4.1,8.4,16.2,14.4,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM119,11,CFM International,CFM56-7B26E/F,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,1.75,7,3,2.6,0.4,2.18,2.91,3.0,15.4,302,0.2,0.16,3.07,30.94,7,3,46.8,2.6,43.8,48.7,50.6,42.9,5476,21.79,17.08,8.93,4.27,7,3,40.7,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,2.3.2 e),4762,13.1,9.8,2.1,2.1,7,3,13.1,4.1,8.4,16.2,14.4,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM120,11,CFM International,CFM56-7B26E/B2F,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,1.75,7,3,2.6,0.4,2.18,2.91,3.0,15.4,302,0.2,0.16,3.07,30.94,7,3,46.8,2.6,43.8,48.7,50.6,42.9,5476,21.79,17.08,8.93,4.27,7,3,40.7,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,2.3.2 e),4762,13.1,9.8,2.1,2.1,7,3,13.1,4.1,8.4,16.2,14.4,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM121,11,CFM International,CFM56-7B27E,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7,3,2.3,0.4,1.88,2.56,2.6,13.4,273,0.31,0.17,2.82,29.39,7,3,43.8,2.5,41,45.6,47.4,40.2,5320,23.94,17.89,9.09,4.36,7,3,43.1,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,2.3.2 e),5231,13.4,11.2,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.110,444,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM122,11,CFM International,CFM56-7B27E/B1,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7,3,2.3,0.4,1.88,2.56,2.6,13.4,273,0.31,0.17,2.82,29.39,7,3,43.8,2.5,41,45.6,47.4,40.2,5320,23.94,17.89,9.09,4.36,7,3,43.1,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,2.3.2 e),5231,13.4,11.2,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.110,444,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM123,11,CFM International,CFM56-7B27E/B3,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7,3,2.3,0.4,1.88,2.56,2.6,13.4,273,0.31,0.17,2.82,29.39,7,3,43.8,2.5,41,45.6,47.4,40.2,5320,23.94,17.89,9.09,4.36,7,3,43.1,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,2.3.2 e),5231,13.4,11.2,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.110,444,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM124,11,CFM International,CFM56-7B27AE,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7,3,2.3,0.4,1.88,2.56,2.6,13.4,273,0.31,0.17,2.82,29.39,7,3,43.8,2.5,41,45.6,47.4,40.2,5320,23.94,17.89,9.09,4.36,7,3,43.1,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,2.3.2 e),5231,13.4,11.2,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.110,444,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM125,11,CFM International,CFM56-7B27E/F,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7,3,2.3,0.4,1.88,2.56,2.6,13.4,273,0.31,0.17,2.82,29.39,7,3,43.8,2.5,41,45.6,47.4,40.2,5320,23.94,17.89,9.09,4.36,7,3,43.1,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,2.3.2 e),5231,13.4,11.2,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.110,444,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM126,11,CFM International,CFM56-7B27E/B1F,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7,3,2.3,0.4,1.88,2.56,2.6,13.4,273,0.31,0.17,2.82,29.39,7,3,43.8,2.5,41,45.6,47.4,40.2,5320,23.94,17.89,9.09,4.36,7,3,43.1,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,2.3.2 e),5231,13.4,11.2,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.110,444,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P20CM127,20,CFM International,LEAP-1A24/24E1/23,TAPS II,TF,11.3,30.0,106.8,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.37,4,2,0.5,0.1,0.45,0.57,0.7,3,55,0.24,0.41,3.53,23.79,4,2,32.3,1.7,30.21,34,36.8,31,3455,17.59,9.41,8.02,4.45,4,2,21.9,0.8,20.93,22.63,24.1,24,30,36,41,48,2.3.2 e),2341,1.3,1.2,1.3,1.3,4,2,1.6,0.2,1.5,1.8,1.8,8,Jet A,1.9,1.9,16.5,16.5,0.745,0.616,0.219,0.087,301,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM128,20,CFM International,LEAP-1A26/26E1,TAPS II,TF,11.1,33.3,120.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.29,4,2,0.4,0.1,0.33,0.43,0.5,2.5,46,0.24,0.26,2.65,21.63,4,2,27.0,1.4,25.41,28.38,30.8,26.1,3259,30.8,13.38,8.75,4.61,4,2,29.3,1.4,27.63,30.63,32.2,30.2,37.8,43.8,49.2,56.9,2.3.2 e),3535,1.3,1.2,1.3,1.3,4,2,1.6,0.2,1.5,1.8,1.8,8.1,Jet A,1.9,1.9,16.5,16.5,0.861,0.710,0.244,0.091,330,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM129,20,CFM International,LEAP-1A26CJ,TAPS II,TF,11.1,33.3,120.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.29,4,2,0.4,0.1,0.33,0.43,0.5,2.5,46,0.24,0.26,2.65,21.63,4,2,27.0,1.4,25.41,28.38,30.8,26.1,3259,30.8,13.38,8.75,4.61,4,2,29.3,1.4,27.63,30.63,32.2,30.2,37.8,43.8,49.2,56.9,2.3.2 e),3535,1.3,1.2,1.3,1.3,4,2,1.6,0.2,1.5,1.8,1.8,8.1,Jet A,1.9,1.9,16.5,16.5,0.861,0.710,0.244,0.091,330,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM130,20,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5,130.3,C,,,NME/DTEPS,Yes,,,0.04,0.02,0.04,0.25,4,2,0.3,0.0,0.28,0.37,0.4,2.2,43,0.27,0.23,2.21,20.3,4,2,24.3,1.2,22.82,25.46,27.6,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.4,1.9,39.23,43.27,45.6,41.1,51.3,58.4,65.1,74.5,2.3.2 e),5396,1.1,1.2,1.3,1.3,4,2,1.6,0.2,1.5,1.8,1.8,8.3,Jet A,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM131,20,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5,130.3,C,,,NME/DTEPS,Yes,,,0.04,0.02,0.04,0.25,4,2,0.3,0.0,0.28,0.37,0.4,2.2,43,0.27,0.23,2.21,20.3,4,2,24.3,1.2,22.82,25.46,27.6,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.4,1.9,39.23,43.27,45.6,41.1,51.3,58.4,65.1,74.5,2.3.2 e),5396,1.1,1.2,1.3,1.3,4,2,1.6,0.2,1.5,1.8,1.8,8.3,Jet A,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM132,20,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.5,38.5,143.1,C,,,NME/DTEPS,Yes,,,0.05,0.02,0.04,0.21,4,2,0.3,0.0,0.23,0.31,0.4,1.9,39,0.3,0.24,1.79,18.68,4,2,21.1,1.1,19.88,22.16,24.1,20.4,3019,59.74,32.35,9.95,4.85,4,2,54.5,1.8,52.3,56.3,59.9,51.2,64,71.3,78.9,89.3,2.3.2 e),7795,1.1,1.2,1.3,1.3,4,2,1.6,0.2,1.5,1.8,1.8,8.5,Jet A,1.9,1.9,16.5,16.5,1.062,0.869,0.284,0.098,380,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM133,20,CFM International,LEAP-1B21,TAPS II,TF,8.5,36.8,111.3,C,,,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.71,3,1,1.0,0.1,0.66,0.84,1.5,7.5,106,0.15,0.16,1.49,16.19,3,1,21.2,0.8,16.97,18.38,26.0,22,2358,30.39,17.53,10.26,4.74,3,1,36.4,1.4,56.39,59.15,42.2,37.2,46.4,52.4,58.2,66.2,2.3.2 e),4053,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.5,Jet A,1.9,1.9,14.7,14.7,0.877,0.722,0.245,0.089,330,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM134,20,CFM International,LEAP-1B23,TAPS II,TF,8.5,37.9,115.2,C,,,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.64,3,1,0.9,0.1,0.66,0.84,1.3,6.8,99,0.16,0.14,1.36,15.61,3,1,20.1,0.8,16.97,18.38,24.6,20.9,2312,38.19,18.11,10.7,4.63,3,1,39.7,1.4,56.39,59.15,46,39.7,49.6,55.5,61.5,69.7,2.3.2 e),4573,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.6,Jet A,1.9,1.9,14.7,14.7,0.916,0.752,0.253,0.091,340,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM135,20,CFM International,LEAP-1B25,TAPS II,TF,8.4,40.1,119.2,C,,,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.59,3,1,0.8,0.1,0.66,0.84,1.2,6.1,93,0.17,0.14,1.25,15.27,3,1,18.9,0.8,16.97,18.38,23.3,19.7,2257,48.9,20.35,11.1,4.57,3,1,45.5,1.4,56.39,59.15,52.7,43.8,54.8,60.4,66.5,74.9,2.3.2 e),5417,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.6,Jet A,1.9,1.9,14.7,14.7,0.960,0.784,0.260,0.091,348,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM136,20,CFM International,LEAP-1B27,TAPS II,TF,8.3,40.5,124.7,C,,,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.51,3,1,0.7,0.1,0.66,0.84,1.1,5.4,85,0.17,0.14,1.11,14.4,3,1,17.8,0.8,16.97,18.38,21.9,18.5,2221,55.26,23.26,11.59,4.59,3,1,50.7,1.4,56.39,59.15,58.8,48.6,60.7,66.8,73.5,82.7,2.3.2 e),6326,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.7,Jet A,1.9,1.9,14.7,14.7,1.014,0.826,0.273,0.095,365,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM137,20,CFM International,LEAP-1B28B2C,TAPS II,TF,8.3,40.5,124.7,C,,,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.51,3,1,0.7,0.1,0.66,0.84,1.1,5.4,85,0.17,0.14,1.11,14.4,3,1,17.8,0.8,16.97,18.38,21.9,18.5,2221,55.26,23.26,11.59,4.59,3,1,50.7,1.4,56.39,59.15,58.8,48.6,60.7,66.8,73.5,82.7,2.3.2 e),6326,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.7,Jet A,1.9,1.9,14.7,14.7,1.014,0.826,0.273,0.095,365,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM138,20,CFM International,LEAP-1B28BBJ1,TAPS II,TF,8.3,42.0,130.4,C,,,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.46,3,1,0.6,0.1,0.66,0.84,0.9,4.8,79,0.18,0.15,0.99,13.77,3,1,16.7,0.8,16.97,18.38,20.5,17.4,2176,64.36,29.59,11.92,4.68,3,1,60.1,1.4,56.39,59.15,69.7,56.2,70.2,76.6,84,94,2.3.2 e),7837,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.8,Jet A,1.9,1.9,14.7,14.7,1.075,0.873,0.285,0.097,380,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
